"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女","法人_会社以外の法人_事業所数","法人_会社以外の法人_従業者数(注)","法人_会社以外の法人_従業者数(注)_男","法人_会社以外の法人_従業者数(注)_女","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_男","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_うち常用雇用者(注)","法人でない団体_従業者数(注)_うち常用雇用者(注)_男","法人でない団体_従業者数(注)_うち常用雇用者(注)_女"
"　I 卸売業，小売業_　59 機械器具小売業__10～19人","152.0","1996.0","1515.0","481.0","1811.0","1391.0","420.0","5.0","56.0","30.0","26.0","48.0","25.0","23.0","147.0","1940.0","1485.0","455.0","1763.0","1366.0","397.0","147.0","1940.0","1485.0","455.0","1763.0","1366.0","397.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__20～29人","33.0","805.0","613.0","192.0","770.0","593.0","177.0","-","-","-","-","-","-","-","33.0","805.0","613.0","192.0","770.0","593.0","177.0","33.0","805.0","613.0","192.0","770.0","593.0","177.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__30～49人","17.0","623.0","465.0","158.0","598.0","443.0","155.0","-","-","-","-","-","-","-","17.0","623.0","465.0","158.0","598.0","443.0","155.0","17.0","623.0","465.0","158.0","598.0","443.0","155.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__50～99人","5.0","256.0","201.0","55.0","226.0","188.0","38.0","-","-","-","-","-","-","-","5.0","256.0","201.0","55.0","226.0","188.0","38.0","5.0","256.0","201.0","55.0","226.0","188.0","38.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__出向・派遣従業者のみ","8.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-","7.0","-","-","-","-","-","-","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__(再掲)5人以下","1134.0","2764.0","1786.0","978.0","1110.0","616.0","494.0","927.0","2109.0","1360.0","749.0","695.0","358.0","337.0","207.0","655.0","426.0","229.0","415.0","258.0","157.0","206.0","654.0","425.0","229.0","414.0","257.0","157.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業__(再掲)20人以下","1459.0","6003.0","4190.0","1813.0","3856.0","2691.0","1165.0","970.0","2420.0","1559.0","861.0","924.0","500.0","424.0","488.0","3577.0","2627.0","950.0","2927.0","2188.0","739.0","487.0","3576.0","2626.0","950.0","2926.0","2187.0","739.0","1.0","1.0","1.0","-","1.0","1.0","-","1.0","6.0","4.0","2.0","5.0","3.0","2.0"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所","3.0","63.0","48.0","15.0","58.0","44.0","14.0","-","-","-","-","-","-","-","3.0","63.0","48.0","15.0","58.0","44.0","14.0","3.0","63.0","48.0","15.0","58.0","44.0","14.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_10～19人","2.0","27.0","19.0","8.0","23.0","16.0","7.0","-","-","-","-","-","-","-","2.0","27.0","19.0","8.0","23.0","16.0","7.0","2.0","27.0","19.0","8.0","23.0","16.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_30～49人","1.0","36.0","29.0","7.0","35.0","28.0","7.0","-","-","-","-","-","-","-","1.0","36.0","29.0","7.0","35.0","28.0","7.0","1.0","36.0","29.0","7.0","35.0","28.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　590 管理，補助的経済活動を行う事業所_(再掲)20人以下","2.0","27.0","19.0","8.0","23.0","16.0","7.0","-","-","-","-","-","-","-","2.0","27.0","19.0","8.0","23.0","16.0","7.0","2.0","27.0","19.0","8.0","23.0","16.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業","831.0","4744.0","3715.0","1029.0","3598.0","2884.0","714.0","495.0","1250.0","863.0","387.0","530.0","324.0","206.0","335.0","3488.0","2848.0","640.0","3063.0","2557.0","506.0","335.0","3488.0","2848.0","640.0","3063.0","2557.0","506.0","-","-","-","-","-","-","-","1.0","6.0","4.0","2.0","5.0","3.0","2.0"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_1～4人","519.0","1149.0","804.0","345.0","427.0","263.0","164.0","447.0","958.0","664.0","294.0","307.0","176.0","131.0","72.0","191.0","140.0","51.0","120.0","87.0","33.0","72.0","191.0","140.0","51.0","120.0","87.0","33.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_5～9人","159.0","1033.0","771.0","262.0","791.0","604.0","187.0","45.0","267.0","182.0","85.0","201.0","133.0","68.0","113.0","760.0","585.0","175.0","585.0","468.0","117.0","113.0","760.0","585.0","175.0","585.0","468.0","117.0","-","-","-","-","-","-","-","1.0","6.0","4.0","2.0","5.0","3.0","2.0"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_10～19人","114.0","1489.0","1237.0","252.0","1366.0","1154.0","212.0","2.0","25.0","17.0","8.0","22.0","15.0","7.0","112.0","1464.0","1220.0","244.0","1344.0","1139.0","205.0","112.0","1464.0","1220.0","244.0","1344.0","1139.0","205.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_20～29人","24.0","572.0","480.0","92.0","543.0","465.0","78.0","-","-","-","-","-","-","-","24.0","572.0","480.0","92.0","543.0","465.0","78.0","24.0","572.0","480.0","92.0","543.0","465.0","78.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_30～49人","9.0","346.0","285.0","61.0","324.0","266.0","58.0","-","-","-","-","-","-","-","9.0","346.0","285.0","61.0","324.0","266.0","58.0","9.0","346.0","285.0","61.0","324.0","266.0","58.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_50～99人","3.0","155.0","138.0","17.0","147.0","132.0","15.0","-","-","-","-","-","-","-","3.0","155.0","138.0","17.0","147.0","132.0","15.0","3.0","155.0","138.0","17.0","147.0","132.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_出向・派遣従業者のみ","3.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-","2.0","-","-","-","-","-","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_(再掲)5人以下","566.0","1384.0","970.0","414.0","603.0","387.0","216.0","470.0","1073.0","744.0","329.0","391.0","232.0","159.0","96.0","311.0","226.0","85.0","212.0","155.0","57.0","96.0","311.0","226.0","85.0","212.0","155.0","57.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　591 自動車小売業_(再掲)20人以下","794.0","3711.0","2847.0","864.0","2624.0","2056.0","568.0","494.0","1250.0","863.0","387.0","530.0","324.0","206.0","299.0","2455.0","1980.0","475.0","2089.0","1729.0","360.0","299.0","2455.0","1980.0","475.0","2089.0","1729.0","360.0","-","-","-","-","-","-","-","1.0","6.0","4.0","2.0","5.0","3.0","2.0"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業","77.0","172.0","125.0","47.0","59.0","45.0","14.0","72.0","124.0","86.0","38.0","15.0","9.0","6.0","5.0","48.0","39.0","9.0","44.0","36.0","8.0","5.0","48.0","39.0","9.0","44.0","36.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_1～4人","71.0","118.0","82.0","36.0","10.0","6.0","4.0","71.0","118.0","82.0","36.0","10.0","6.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_5～9人","5.0","35.0","31.0","4.0","31.0","28.0","3.0","1.0","6.0","4.0","2.0","5.0","3.0","2.0","4.0","29.0","27.0","2.0","26.0","25.0","1.0","4.0","29.0","27.0","2.0","26.0","25.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_10～19人","1.0","19.0","12.0","7.0","18.0","11.0","7.0","-","-","-","-","-","-","-","1.0","19.0","12.0","7.0","18.0","11.0","7.0","1.0","19.0","12.0","7.0","18.0","11.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_(再掲)5人以下","71.0","118.0","82.0","36.0","10.0","6.0","4.0","71.0","118.0","82.0","36.0","10.0","6.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　592 自転車小売業_(再掲)20人以下","77.0","172.0","125.0","47.0","59.0","45.0","14.0","72.0","124.0","86.0","38.0","15.0","9.0","6.0","5.0","48.0","39.0","9.0","44.0","36.0","8.0","5.0","48.0","39.0","9.0","44.0","36.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)","609.0","2668.0","1546.0","1122.0","1695.0","907.0","788.0","404.0","1046.0","610.0","436.0","379.0","167.0","212.0","205.0","1622.0","936.0","686.0","1316.0","740.0","576.0","204.0","1621.0","935.0","686.0","1315.0","739.0","576.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_1～4人","459.0","1072.0","616.0","456.0","391.0","159.0","232.0","365.0","813.0","473.0","340.0","241.0","89.0","152.0","94.0","259.0","143.0","116.0","150.0","70.0","80.0","93.0","258.0","142.0","116.0","149.0","69.0","80.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_5～9人","92.0","560.0","336.0","224.0","355.0","205.0","150.0","36.0","202.0","124.0","78.0","112.0","68.0","44.0","56.0","358.0","212.0","146.0","243.0","137.0","106.0","56.0","358.0","212.0","146.0","243.0","137.0","106.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_10～19人","35.0","461.0","247.0","214.0","404.0","210.0","194.0","3.0","31.0","13.0","18.0","26.0","10.0","16.0","32.0","430.0","234.0","196.0","378.0","200.0","178.0","32.0","430.0","234.0","196.0","378.0","200.0","178.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_20～29人","9.0","233.0","133.0","100.0","227.0","128.0","99.0","-","-","-","-","-","-","-","9.0","233.0","133.0","100.0","227.0","128.0","99.0","9.0","233.0","133.0","100.0","227.0","128.0","99.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_30～49人","7.0","241.0","151.0","90.0","239.0","149.0","90.0","-","-","-","-","-","-","-","7.0","241.0","151.0","90.0","239.0","149.0","90.0","7.0","241.0","151.0","90.0","239.0","149.0","90.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_50～99人","2.0","101.0","63.0","38.0","79.0","56.0","23.0","-","-","-","-","-","-","-","2.0","101.0","63.0","38.0","79.0","56.0","23.0","2.0","101.0","63.0","38.0","79.0","56.0","23.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_出向・派遣従業者のみ","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","5.0","-","-","-","-","-","-","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_(再掲)5人以下","497.0","1262.0","734.0","528.0","497.0","223.0","274.0","386.0","918.0","534.0","384.0","294.0","120.0","174.0","111.0","344.0","200.0","144.0","203.0","103.0","100.0","110.0","343.0","199.0","144.0","202.0","102.0","100.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　59 機械器具小売業_　593 機械器具小売業(自動車，自転車を除く)_(再掲)20人以下","586.0","2093.0","1199.0","894.0","1150.0","574.0","576.0","404.0","1046.0","610.0","436.0","379.0","167.0","212.0","182.0","1047.0","589.0","458.0","771.0","407.0","364.0","181.0","1046.0","588.0","458.0","770.0","406.0","364.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_","4264.0","21729.0","9927.0","11694.0","14306.0","6270.0","7928.0","2659.0","7865.0","3623.0","4242.0","3425.0","1357.0","2068.0","1601.0","13853.0","6298.0","7447.0","10871.0","4908.0","5855.0","1533.0","13252.0","5919.0","7225.0","10324.0","4573.0","5643.0","68.0","601.0","379.0","222.0","547.0","335.0","212.0","4.0","11.0","6.0","5.0","10.0","5.0","5.0"
"　I 卸売業，小売業_　60 その他の小売業__1～4人","2993.0","6611.0","3093.0","3514.0","2499.0","963.0","1532.0","2314.0","4719.0","2152.0","2567.0","1219.0","380.0","839.0","675.0","1881.0","935.0","942.0","1270.0","578.0","688.0","637.0","1794.0","882.0","908.0","1188.0","530.0","654.0","38.0","87.0","53.0","34.0","82.0","48.0","34.0","4.0","11.0","6.0","5.0","10.0","5.0","5.0"
"　I 卸売業，小売業_　60 その他の小売業__5～9人","824.0","5266.0","2483.0","2752.0","3814.0","1682.0","2101.0","256.0","1551.0","700.0","851.0","935.0","367.0","568.0","568.0","3715.0","1783.0","1901.0","2879.0","1315.0","1533.0","546.0","3586.0","1692.0","1863.0","2772.0","1239.0","1502.0","22.0","129.0","91.0","38.0","107.0","76.0","31.0","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__10～19人","290.0","3745.0","1761.0","1911.0","3078.0","1427.0","1578.0","61.0","815.0","404.0","411.0","618.0","306.0","312.0","229.0","2930.0","1357.0","1500.0","2460.0","1121.0","1266.0","224.0","2870.0","1308.0","1489.0","2400.0","1072.0","1255.0","5.0","60.0","49.0","11.0","60.0","49.0","11.0","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__20～29人","81.0","1866.0","866.0","1000.0","1554.0","748.0","806.0","23.0","531.0","244.0","287.0","473.0","214.0","259.0","58.0","1335.0","622.0","713.0","1081.0","534.0","547.0","57.0","1311.0","613.0","698.0","1068.0","533.0","535.0","1.0","24.0","9.0","15.0","13.0","1.0","12.0","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__30～49人","36.0","1368.0","605.0","763.0","1071.0","503.0","568.0","3.0","99.0","50.0","49.0","85.0","41.0","44.0","33.0","1269.0","555.0","714.0","986.0","462.0","524.0","33.0","1269.0","555.0","714.0","986.0","462.0","524.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__50～99人","26.0","1755.0","624.0","1131.0","1347.0","527.0","820.0","2.0","150.0","73.0","77.0","95.0","49.0","46.0","24.0","1605.0","551.0","1054.0","1252.0","478.0","774.0","23.0","1532.0","535.0","997.0","1180.0","463.0","717.0","1.0","73.0","16.0","57.0","72.0","15.0","57.0","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__100人以上","8.0","1118.0","495.0","623.0","943.0","420.0","523.0","-","-","-","-","-","-","-","8.0","1118.0","495.0","623.0","943.0","420.0","523.0","7.0","890.0","334.0","556.0","730.0","274.0","456.0","1.0","228.0","161.0","67.0","213.0","146.0","67.0","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__出向・派遣従業者のみ","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","-","-","-","-","-","-","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業__(再掲)5人以下","3286.0","8076.0","3797.0","4275.0","3515.0","1407.0","2104.0","2429.0","5294.0","2425.0","2869.0","1549.0","514.0","1035.0","853.0","2771.0","1366.0","1401.0","1956.0","888.0","1064.0","803.0","2624.0","1269.0","1351.0","1825.0","802.0","1019.0","50.0","147.0","97.0","50.0","131.0","86.0","45.0","4.0","11.0","6.0","5.0","10.0","5.0","5.0"
"　I 卸売業，小売業_　60 その他の小売業__(再掲)20人以下","4119.0","15862.0","7450.0","8304.0","9610.0","4174.0","5328.0","2633.0","7125.0","3273.0","3852.0","2811.0","1069.0","1742.0","1482.0","8726.0","4171.0","4447.0","6789.0","3100.0","3581.0","1417.0","8450.0","3978.0","4364.0","6540.0","2927.0","3505.0","65.0","276.0","193.0","83.0","249.0","173.0","76.0","4.0","11.0","6.0","5.0","10.0","5.0","5.0"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所","6.0","19.0","10.0","9.0","10.0","2.0","8.0","-","-","-","-","-","-","-","6.0","19.0","10.0","9.0","10.0","2.0","8.0","6.0","19.0","10.0","9.0","10.0","2.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_1～4人","5.0","13.0","7.0","6.0","7.0","2.0","5.0","-","-","-","-","-","-","-","5.0","13.0","7.0","6.0","7.0","2.0","5.0","5.0","13.0","7.0","6.0","7.0","2.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_5～9人","1.0","6.0","3.0","3.0","3.0","-","3.0","-","-","-","-","-","-","-","1.0","6.0","3.0","3.0","3.0","-","3.0","1.0","6.0","3.0","3.0","3.0","-","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_(再掲)5人以下","5.0","13.0","7.0","6.0","7.0","2.0","5.0","-","-","-","-","-","-","-","5.0","13.0","7.0","6.0","7.0","2.0","5.0","5.0","13.0","7.0","6.0","7.0","2.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　600 管理，補助的経済活動を行う事業所_(再掲)20人以下","6.0","19.0","10.0","9.0","10.0","2.0","8.0","-","-","-","-","-","-","-","6.0","19.0","10.0","9.0","10.0","2.0","8.0","6.0","19.0","10.0","9.0","10.0","2.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　601 家具・建具・畳小売業","277.0","1127.0","640.0","487.0","643.0","314.0","329.0","204.0","451.0","288.0","163.0","114.0","58.0","56.0","73.0","676.0","352.0","324.0","529.0","256.0","273.0","73.0","676.0","352.0","324.0","529.0","256.0","273.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　601 家具・建具・畳小売業_1～4人","220.0","454.0","283.0","171.0","117.0","58.0","59.0","192.0","383.0","242.0","141.0","88.0","45.0","43.0","28.0","71.0","41.0","30.0","29.0","13.0","16.0","28.0","71.0","41.0","30.0","29.0","13.0","16.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　601 家具・建具・畳小売業_5～9人","35.0","213.0","144.0","69.0","136.0","87.0","49.0","12.0","68.0","46.0","22.0","26.0","13.0","13.0","23.0","145.0","98.0","47.0","110.0","74.0","36.0","23.0","145.0","98.0","47.0","110.0","74.0","36.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　I 卸売業，小売業_　60 その他の小売業_　601 家具・建具・畳小売業_10～19人","13.0","152.0","79.0","73.0","111.0","57.0","54.0","-","-","-","-","-","-","-","13.0","152.0","79.0","73.0","111.0","57.0","54.0","13.0","152.0","79.0","73.0","111.0","57.0","54.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
